"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","2732","129","8","0","7","174","62","0","188"
"B-NAME","0","302","4488","7","0","8","111","217","0","42"
"B-QTY","0","14","0","4146","2","0","23","0","0","28"
"B-RANGE_END","0","0","0","0","38","0","2","0","0","6"
"B-UNIT","0","5","1","0","0","3290","32","15","1","32"
"I-COMMENT","0","101","88","3","3","6","5730","164","0","369"
"I-NAME","0","148","449","5","0","30","503","2637","0","228"
"I-UNIT","0","0","0","0","0","1","1","0","0","0"
"OTHER","0","386","155","43","9","193","880","145","0","2840"
