example ,750-milliliter,bottle,merlot,,,,,,,,,,,,,,,,,
B-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,OTHER,B-UNIT,B-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ground,black,pepper,,,,,,,,,,,,,,,,,,
B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,,,
B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Mar,pounds,mixed,wild,mushrooms,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2-ounce,bottle,of,capers,",",rinsed,and,drained,,,,,,,,,,,,,
OTHER,B-UNIT,OTHER,B-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,
OTHER,B-COMMENT,I-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,cup,extra-virgin,olive,oil,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,cup,UNK,or,other,white,wine,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,extra,virgin,olive,oil,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,Italian,green,frying,pepper,",",cored,",",seeded,and,cut,into,small,pieces,,,,,,,
B-QTY,B-NAME,I-NAME,I-NAME,I-NAME,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
B-QTY,B-NAME,I-NAME,B-COMMENT,B-NAME,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,adobo,sauce,from,the,chiles,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,teaspoon,ajwain,seeds,(,strong,",",UNK,seeds,),or,4-Jan,teaspoon,dried,thyme,,,,,,
