"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","440","32","6","0","1","21","3","0","0","2","29"
"B-NAME","0","8","951","4","0","8","22","40","0","0","2","8"
"B-QTY","0","3","0","922","0","1","6","0","2","0","2","2"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","2","5","7","0","803","7","1","1","0","2","2"
"I-COMMENT","0","34","14","3","0","3","1339","11","0","0","1","70"
"I-NAME","0","4","25","1","0","2","10","871","0","0","2","4"
"I-QTY","0","0","0","0","0","2","3","0","546","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","1","0","0","0","9","12","5","3","0","64","2"
"OTHER","0","19","10","10","0","9","95","9","0","0","2","766"
