"source","ingredientPhrase"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","1 unit Carrots"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","12 ounce White Potatoes"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","1 unit Lemon"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","Â¼ ounce Parsley"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","1 clove Garlic"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","Â¼ cup Parmesan Cheese"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","1 teaspoon Dried Oregano"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","Â¼ cup Panko Breadcrumbs"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","11 ounce Tilapia"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","5 teaspoon Olive Oil"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2","1 tablespoon Butter"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2"," Salt"
"https://www.hellofresh.com/recipes/parmesan-crusted-fish-5964ebc3ad1d6c58263649d2"," Pepper"
"https://www.epicurious.com/recipes/food/views/mahi-mahi-with-blood-orange-avocado-and-red-onion-salsa-231590","1 blood orange, Cara Cara orange, or regular orange"
"https://www.epicurious.com/recipes/food/views/mahi-mahi-with-blood-orange-avocado-and-red-onion-salsa-231590","1/2 cup 1/3-inch cubes avocado"
"https://www.epicurious.com/recipes/food/views/mahi-mahi-with-blood-orange-avocado-and-red-onion-salsa-231590","1/3 cup chopped red onion"
"https://www.epicurious.com/recipes/food/views/mahi-mahi-with-blood-orange-avocado-and-red-onion-salsa-231590","2 teaspoons minced red jalapeño"
"https://www.epicurious.com/recipes/food/views/mahi-mahi-with-blood-orange-avocado-and-red-onion-salsa-231590","2 teaspoons fresh lime juice"
"https://www.epicurious.com/recipes/food/views/mahi-mahi-with-blood-orange-avocado-and-red-onion-salsa-231590","2 teaspoons olive oil"
"https://www.epicurious.com/recipes/food/views/mahi-mahi-with-blood-orange-avocado-and-red-onion-salsa-231590","2 6-ounce mahi-mahi fillets"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","4 beef tenderloin steaks, 6 ounces each, cut 1 inch thick"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","Salt"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","1 tablespoon coarsely crushed black pepper"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","1 teaspoon coarsely crushed Sichuan pepper"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","2 tablespoons unsalted butter"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","2 large shallots, finely diced"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","1 ½ cups rich beef or chicken broth"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","1 tablespoon Cognac or bourbon"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","¼ cup crème fraîche"
"https://cooking.nytimes.com/recipes/1017319-simple-steak-au-poivre","1 bunch watercress, for garnish"
"https://lexiscleankitchen.com/easy-scallop-pasta","4 strips bacon"
"https://lexiscleankitchen.com/easy-scallop-pasta","1 lb. fresh scallops"
"https://lexiscleankitchen.com/easy-scallop-pasta","1 tablespoon butter or oil"
"https://lexiscleankitchen.com/easy-scallop-pasta","3 cloves garlic, minced"
"https://lexiscleankitchen.com/easy-scallop-pasta","1/2 onion, finely chopped"
"https://lexiscleankitchen.com/easy-scallop-pasta","1/2 cup broth"
"https://lexiscleankitchen.com/easy-scallop-pasta","1 tablespoon lemon juice"
"https://lexiscleankitchen.com/easy-scallop-pasta","1 teaspoon fine sea salt"
"https://lexiscleankitchen.com/easy-scallop-pasta","1/2 teaspoon freshly ground pepper, more to taste"
"https://lexiscleankitchen.com/easy-scallop-pasta","pinch red pepper flakes"
"https://lexiscleankitchen.com/easy-scallop-pasta","1 small bunch fresh basil, chopped"
"https://lexiscleankitchen.com/easy-scallop-pasta","3-4 summer squash or zucchini"
"https://www.recipetineats.com/mushroom-pasta","200 g / 7 oz orecchiette pasta or 160g/6 oz long pasta ((Note 1))"
"https://www.recipetineats.com/mushroom-pasta","400g / 14 oz mushrooms ((Note 2))"
"https://www.recipetineats.com/mushroom-pasta","3 tbsp (50g) unsalted butter (, separated)"
"https://www.recipetineats.com/mushroom-pasta","1 tbsp olive oil"
"https://www.recipetineats.com/mushroom-pasta","2 garlic cloves (, minced)"
"https://www.recipetineats.com/mushroom-pasta","1/2 tsp each salt and pepper"
"https://www.recipetineats.com/mushroom-pasta","1/2 cup freshly grated parmesan cheese ((or 1/4 cup store bought grated))"
"https://www.recipetineats.com/mushroom-pasta","Parsley (, finely chopped)"
"https://www.recipetineats.com/mushroom-pasta","Parmesan cheese (, grated)"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","2 boneless, skinless chicken breasts, cut into 1-inch pieces"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","salt and pepper"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","1 Tbsp. olive oil"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","3 Tbsp. reduced-sodium soy sauce"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","2 Tbsp. rice wine vinegar"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","2 Tbsp. honey"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","1 garlic clove, minced"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","1/2 tsp. ground ginger"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","1 tsp. cornstarch"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","1/2 cup thinly sliced green onions"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","2 tsp. sesame oil"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","1 tsp. toasted sesame seeds"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","1 cup dry quinoa"
"https://www.gimmesomeoven.com/sesame-chicken-with-quinoa/","2 cups chicken broth"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","15 oz tuna in oil, drained and flaked ((3 small cans))"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","1 English cucumber (sliced)"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","2 large or 3 medium avocados (peeled, pitted & sliced)"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","1 small/medium red onion (thinly sliced)"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","1/4 cup cilantro ((1/2 of a small bunch))"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","2 Tbsp lemon juice (freshly squeezed)"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","2 Tbsp extra virgin olive oil"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","1 tsp sea salt (or to taste)"
"https://natashaskitchen.com/avocado-tuna-salad-recipe","1/8 tsp black pepper"
"https://www.myrecipes.com/recipe/chicken-shawarma","Chicken:"
"https://www.myrecipes.com/recipe/chicken-shawarma","2 tablespoons fresh lemon juice"
"https://www.myrecipes.com/recipe/chicken-shawarma","1 teaspoon curry powder"
"https://www.myrecipes.com/recipe/chicken-shawarma","2 teaspoons extravirgin olive oil"
"https://www.myrecipes.com/recipe/chicken-shawarma","3/4 teaspoon salt"
"https://www.myrecipes.com/recipe/chicken-shawarma","1/2 teaspoon ground cumin"
"https://www.myrecipes.com/recipe/chicken-shawarma","3 garlic cloves, minced"
"https://www.myrecipes.com/recipe/chicken-shawarma","1 pound skinless, boneless chicken breast, cut into 16 (3-inch) strips"
"https://www.myrecipes.com/recipe/chicken-shawarma","Sauce:"
"https://www.myrecipes.com/recipe/chicken-shawarma","1/2 cup plain 2% reduced-fat Greek yogurt (such as Fage)"
"https://www.myrecipes.com/recipe/chicken-shawarma","2 tablespoons tahini"
"https://www.myrecipes.com/recipe/chicken-shawarma","2 teaspoons fresh lemon juice"
"https://www.myrecipes.com/recipe/chicken-shawarma","1/4 teaspoon salt"
"https://www.myrecipes.com/recipe/chicken-shawarma","1 garlic clove, minced"
"https://www.myrecipes.com/recipe/chicken-shawarma","Remaining ingredients:"
"https://www.myrecipes.com/recipe/chicken-shawarma","Cooking spray"
"https://www.myrecipes.com/recipe/chicken-shawarma","4 (6-inch) pitas"
"https://www.myrecipes.com/recipe/chicken-shawarma","1 cup chopped romaine lettuce"
"https://www.myrecipes.com/recipe/chicken-shawarma","8 (1/4-inch-thick) tomato slices"
"https://www.skinnytaste.com/sweet-potato-turkey-shepherds-pie","1-1/2 lbs sweet potatoes, peeled, diced"
"https://www.skinnytaste.com/sweet-potato-turkey-shepherds-pie","3 cloves garlic"
"https://www.skinnytaste.com/sweet-potato-turkey-shepherds-pie","1/2 cup 1% milk"
"https://www.skinnytaste.com/sweet-potato-turkey-shepherds-pie","1/4 cup fat free chicken broth*"
"https://www.skinnytaste.com/sweet-potato-turkey-shepherds-pie","2 tbsp reduced fat sour cream"
"https://www.skinnytaste.com/sweet-potato-turkey-shepherds-pie","salt and pepper to taste"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","2 cloves garlic"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","2 tbsp sesame seed oil"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","1 lb ground beef ((we used 88% lean))"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","10 oz. cole slaw salad mix"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","1 tbsp sriracha"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","2 tbsp soy sauce"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","1 tsp vinegar"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","1/4 tsp black pepper"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","1/2 tsp pink Himalayan sea salt"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","1 tsp sesame seeds"
"https://www.tasteaholics.com/recipes/video/easy-crack-slaw-video","1 stalk green onion"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","4 pieces boneless, skinless chicken breast (no tenders)"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","Salt and pepper"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","AP flour, about 1 cup"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","3 large eggs"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","1 scant tablespoon Dijon mustard"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","3 tablespoons milk"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","3 tablespoons Pecorino Romano or Parmigiano-Reggiano cheese"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","1/4 to 1/3 cup olive oil or vegetable oil (light in color olive oil or safflower oil)"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","2 lemons"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","3 tablespoons butter"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","2 large cloves garlic, 1 crushed or chopped, 1 halved"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","About 3/4 cup white wine"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","1 tablespoon Calabrian chili paste, harissa or sriracha"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","About 1 1/2 cups chicken stock"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","A handful flat-leaf parsley, for serving"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","1 loaf ciabatta bread, 12 to 14 inches long, halved"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","EVOO, for drizzling"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","Flaky sea salt, for sprinkling"
"https://www.foodnetwork.com/recipes/rachael-ray/deviled-chicken-francese-5639443","1 large bundle arugula, cleaned, or boxed leaves"
"https://www.budgetbytes.com/mexican-lentil-stew/","2 cups dry red lentils ($3.46*)"
"https://www.budgetbytes.com/mexican-lentil-stew/","1 Tbsp olive oil"
"https://www.budgetbytes.com/mexican-lentil-stew/","1 medium onion"
"https://www.budgetbytes.com/mexican-lentil-stew/","3-4 stalks celery"
"https://www.budgetbytes.com/mexican-lentil-stew/","4 cloves garlic"
"https://www.budgetbytes.com/mexican-lentil-stew/","2 14.5 oz cans fire roasted diced tomatoes"
"https://www.budgetbytes.com/mexican-lentil-stew/","1/2 Tbsp chili powder"
"https://www.budgetbytes.com/mexican-lentil-stew/","1 tsp cumin"
"https://www.budgetbytes.com/mexican-lentil-stew/","1/2 tsp turmeric"
"https://www.budgetbytes.com/mexican-lentil-stew/","4 cups vegetable broth ($0.52**)"
"https://www.budgetbytes.com/mexican-lentil-stew/","10-15 dashes hot sauce"
"https://www.budgetbytes.com/mexican-lentil-stew/","1 medium lime"
"https://www.budgetbytes.com/mexican-lentil-stew/","1/2 bunch cilantro"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","Â½ cup Wild Rice"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","4 ounce Tuscan Kale"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 unit Orange"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","12 ounce Pork Tenderloin"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 tablespoon White Wine Vinegar"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 teaspoon Honey"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 ounce Dried Cranberries"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 ounce Pecans"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 unit Veggie Stock Concentrate"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 tablespoon Olive Oil"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2","1 teaspoon Butter"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2"," Salt"
"https://www.hellofresh.com/recipes/pork-tenderloin-a-lorange-59712a1d51d3f12b335f76a2"," Pepper"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","4 Cod Fillets"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","16 White Corn Tortillas"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","2 Scallions"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","2 lbs Red Cabbage"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","2 Avocados"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","2 Carrots"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","2 Limes"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","1 clove Garlic"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","1 large bunch Cilantro"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","⅓ cup Mexican Crema"
"https://www.blueapron.com/recipes/crispy-fish-tacos-with-guacamole-red-cabbage-slaw","¼ cup Fish Taco Spice Blend (Rice Flour, Ground Cumin, Chipotle Powder & Ground Mexican Oregano)"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","14 oz Italian chicken sausage, casing removed (Al Fresco)"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","1 tsp olive oil"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","1/2 large onion, chopped"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","3 cloves garlic, minced"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","1 28 oz can crushed tomatoes (tuttorosso)"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","2 tbsp chopped fresh basil"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","black pepper, to taste"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","1 large butternut, peeled (3 lbs)"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","1 cup part-skim ricotta"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","1/4 cup Parmigiano Reggiano"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","2 tbsp chopped parsley"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","1 large egg"
"https://www.skinnytaste.com/noodle-less-butternut-sausage-lasagna/","16 oz 4 cups shredded part-skim mozzarella cheese"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","10 ounces cauliflower florets"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","2 tablespoons fried shallots – contains soy (optional)"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","6 ounces jicama"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","1 navel orange"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","2 scallions"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","Fresh mint"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","Fresh cilantro"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","1 lime"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","Two 6-ounce skin-on wild Yukon River salmon fillets"
"https://sunbasket.com/recipe/pan-roasted-salmon-with-orange-jicama-salad","1 teaspoon sumac"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","1 1/2 pounds russet or Yukon Gold potatoes, peeled, cut into 1/2-inch cubes, and submerged in a bowl of cold water to prevent browning"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","2 tablespoons canola oil"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","1 tablespoon cumin seeds"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","1 small red onion, cut in half lengthwise and then into 1/2-inch cubes"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","1 teaspoon ground turmeric"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","2 teaspoons coarse kosher or sea salt"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","1 teaspoon cayenne (ground red pepper)"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","1 medium-size tomato, cored and cut into 1-inch cubes"
"https://www.epicurious.com/recipes/food/views/cumin-scented-potatoes-with-tomatoes-ghurma-aloo","2 tablespoons finely chopped fresh cilantro leaves and tender stems"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","canola cooking spray"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","16 oz cauliflower florets"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","16 oz brussels sprouts, halved"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","2 tbsp olive oil"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","1 teaspoon butter, or more oil for DF, W30, V"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","1/2 cup chopped shallots"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","3 1/2 cups vegetable broth"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","3/4 teaspoon kosher salt"
"https://www.skinnytaste.com/roasted-brussels-sprouts-and-cauliflower-soup","black pepper, to taste"
"https://www.cookinglight.com/recipes/egg-foo-yong-mushroom-sauce","2 tablespoons sesame oil, divided"
"https://www.cookinglight.com/recipes/egg-foo-yong-mushroom-sauce","3/4 cup matchstick-cut carrot"
"https://www.cookinglight.com/recipes/egg-foo-yong-mushroom-sauce","1 bunch green onions, thinly sliced, white and green parts divided"
"https://www.cookinglight.com/recipes/egg-foo-yong-mushroom-sauce","2 cups packaged broccoli slaw"
"https://www.cookinglight.com/recipes/egg-foo-yong-mushroom-sauce","1 teaspoon minced peeled fresh ginger"
"https://www.cookinglight.com/recipes/egg-foo-yong-mushroom-sauce","3 garlic cloves, grated"
"https://www.cookinglight.com/recipes/egg-foo-yong-mushroom-sauce","1 tablespoon unseasoned rice vinegar"
